country,year,attack_type,target_industry,financial_loss_million,affected_users,attack_source,vulnerability_type,defense_mechanism,resolution_time_hours,years_since_2015,loss_per_user_usd,impact_level
China,2015,DDoS,Government,22.71,303975,Nation-state,Social Engineering,Firewall,2.0,0,74.71009129040218,Low
Japan,2022,SQL Injection,Telecommunications,67.62,822256,Insider,Unpatched Software,Firewall,60.0,7,82.23716214901442,High
Russia,2019,Man-in-the-Middle,Healthcare,53.82,521877,Unattributed,Zero-day,Encryption,66.0,4,103.12774849246087,Medium
Brazil,2016,SQL Injection,Education,55.83,758258,Unattributed,Zero-day,Encryption,44.0,1,73.62929240443226,High
Brazil,2016,DDoS,IT,17.12,988369,Hacker Group,Weak Passwords,AI-based Detection,26.0,1,17.321465970705272,High
France,2022,Malware,Healthcare,67.89,325521,Hacker Group,Social Engineering,VPN,69.0,7,208.5579732183177,Medium
Germany,2021,Ransomware,IT,5.54,254933,Nation-state,Social Engineering,AI-based Detection,41.0,6,21.731199962343048,Low
UK,2023,DDoS,Government,55.28,339144,Hacker Group,Unpatched Software,VPN,26.0,8,162.99860826079777,Medium
India,2022,Ransomware,Education,57.52,170002,Unattributed,Unpatched Software,AI-based Detection,54.0,7,338.3489606004635,Medium
Japan,2019,DDoS,Government,74.65,491269,Nation-state,Zero-day,Firewall,67.0,4,151.95341045333615,High
China,2019,Phishing,Banking,49.14,341100,Insider,Social Engineering,Firewall,37.0,4,144.06332453825857,Low
India,2018,DDoS,Government,36.04,446170,Insider,Unpatched Software,VPN,72.0,3,80.77638568258736,Low
India,2015,Malware,Telecommunications,14.09,28398,Insider,Zero-day,Encryption,22.0,0,496.16170152827664,Low
France,2017,Ransomware,Telecommunications,66.36,180698,Hacker Group,Zero-day,Encryption,53.0,2,367.24258154489814,Medium
Germany,2017,Malware,Healthcare,8.53,676384,Unattributed,Social Engineering,VPN,44.0,2,12.611179448360694,Medium
Brazil,2015,Ransomware,Healthcare,61.91,961557,Insider,Unpatched Software,Firewall,64.0,0,64.38515865414115,High
Japan,2020,Phishing,Education,54.47,345334,Hacker Group,Weak Passwords,Antivirus,25.0,5,157.7313557309735,Medium
Russia,2024,Phishing,Education,87.88,263407,Nation-state,Zero-day,Antivirus,8.0,9,333.6281875576579,High
Russia,2017,Phishing,IT,89.22,791350,Nation-state,Social Engineering,Antivirus,32.0,2,112.74404498641562,High
China,2022,Ransomware,Telecommunications,64.92,591819,Unattributed,Zero-day,Antivirus,49.0,7,109.69570088151951,Medium
UK,2016,SQL Injection,IT,6.59,186612,Unattributed,Unpatched Software,Antivirus,30.0,1,35.313913360341246,Low
Japan,2018,Ransomware,Retail,48.0,187730,Nation-state,Weak Passwords,AI-based Detection,26.0,3,255.68635806743728,Low
France,2015,SQL Injection,IT,87.78,6456,Hacker Group,Social Engineering,Firewall,69.0,0,13596.654275092937,High
Japan,2020,Malware,Banking,15.73,762662,Hacker Group,Zero-day,Firewall,56.0,5,20.625126202695295,High
UK,2015,Phishing,IT,30.26,256396,Hacker Group,Zero-day,Encryption,29.0,0,118.02056194324405,Low
Brazil,2021,SQL Injection,Healthcare,54.59,437634,Unattributed,Weak Passwords,AI-based Detection,29.0,6,124.73893710269311,Medium
Russia,2015,Malware,Healthcare,63.09,80855,Nation-state,Zero-day,AI-based Detection,53.0,0,780.2856966174015,Medium
India,2016,Phishing,Retail,59.36,967614,Nation-state,Unpatched Software,AI-based Detection,71.0,1,61.3467767105478,High
Japan,2020,Ransomware,IT,79.52,934400,Unattributed,Social Engineering,VPN,4.0,5,85.1027397260274,High
Germany,2023,Man-in-the-Middle,Telecommunications,87.83,547719,Unattributed,Weak Passwords,AI-based Detection,22.0,8,160.35594894462307,High
China,2016,Malware,Healthcare,96.63,808984,Unattributed,Weak Passwords,Firewall,26.0,1,119.44612007159597,High
Japan,2023,Ransomware,Banking,52.86,261038,Nation-state,Social Engineering,Encryption,48.0,8,202.4992529823244,Medium
China,2024,Phishing,Education,4.01,841054,Insider,Zero-day,Antivirus,49.0,9,4.767827036076161,High
China,2019,Ransomware,IT,68.02,175038,Hacker Group,Weak Passwords,VPN,67.0,4,388.601332282133,Medium
Russia,2022,Phishing,Retail,67.17,774613,Hacker Group,Weak Passwords,Encryption,53.0,7,86.7142689317117,High
Japan,2021,Phishing,Healthcare,37.45,558357,Hacker Group,Weak Passwords,VPN,49.0,6,67.07178382289467,Medium
India,2017,Phishing,Retail,36.78,620056,Nation-state,Weak Passwords,Firewall,14.0,2,59.31722296050679,Medium
Russia,2018,Malware,Healthcare,40.66,90640,Unattributed,Social Engineering,Encryption,56.0,3,448.5878199470433,Low
Russia,2022,Ransomware,Retail,76.93,449596,Unattributed,Unpatched Software,AI-based Detection,3.0,7,171.10917356915988,High
Australia,2020,Ransomware,Healthcare,58.91,207842,Nation-state,Social Engineering,Antivirus,40.0,5,283.4364565391018,Medium
Germany,2017,Phishing,Retail,93.6,908249,Nation-state,Zero-day,AI-based Detection,53.0,2,103.05543964265306,High
Japan,2017,Phishing,Healthcare,47.39,470895,Nation-state,Social Engineering,Encryption,63.0,2,100.63814650824494,Low
France,2017,Malware,Education,3.21,342049,Nation-state,Unpatched Software,AI-based Detection,31.0,2,9.384620332174629,Low
Brazil,2018,Phishing,Banking,98.75,316891,Hacker Group,Social Engineering,Antivirus,55.0,3,311.62134614110215,High
India,2019,Man-in-the-Middle,Education,27.45,633466,Unattributed,Zero-day,AI-based Detection,16.0,4,43.33302813410665,Medium
USA,2023,Malware,Telecommunications,23.98,123866,Nation-state,Zero-day,Firewall,43.0,8,193.5963056851759,Low
France,2017,DDoS,Telecommunications,79.93,305905,Unattributed,Unpatched Software,Encryption,44.0,2,261.29026985502037,High
Russia,2023,SQL Injection,Telecommunications,3.66,702942,Nation-state,Unpatched Software,AI-based Detection,34.0,8,5.206688460783393,Medium
Brazil,2016,Man-in-the-Middle,Retail,72.78,11339,Hacker Group,Social Engineering,AI-based Detection,34.0,1,6418.555428168269,Medium
UK,2017,SQL Injection,Banking,73.88,8385,Nation-state,Social Engineering,AI-based Detection,69.0,2,8810.971973762671,Medium
Russia,2024,Ransomware,Banking,52.8,21810,Insider,Zero-day,VPN,48.0,9,2420.9078404401653,Medium
India,2018,Man-in-the-Middle,Healthcare,94.6,7347,Insider,Zero-day,AI-based Detection,7.0,3,12876.003811079352,High
Germany,2021,SQL Injection,Education,1.62,61463,Hacker Group,Weak Passwords,Antivirus,58.0,6,26.3573206644648,Low
Russia,2020,DDoS,Healthcare,0.82,683572,Insider,Zero-day,Antivirus,69.0,5,1.1995810243836786,Medium
Germany,2015,Malware,Healthcare,90.91,654633,Nation-state,Weak Passwords,Antivirus,43.0,0,138.8717036874096,High
Japan,2021,DDoS,Banking,32.84,311274,Hacker Group,Zero-day,Encryption,67.0,6,105.50190507398628,Low
Russia,2017,Malware,Education,63.33,185208,Unattributed,Zero-day,Firewall,3.0,2,341.9398730076455,Medium
Russia,2022,Man-in-the-Middle,Healthcare,27.82,182378,Insider,Social Engineering,AI-based Detection,10.0,7,152.54032832907478,Low
China,2016,Phishing,IT,7.73,800480,Unattributed,Zero-day,VPN,31.0,1,9.656705976414152,High
India,2019,DDoS,Banking,46.98,147761,Unattributed,Unpatched Software,AI-based Detection,68.0,4,317.945872050135,Low
Russia,2024,Ransomware,Banking,80.11,923911,Insider,Unpatched Software,Firewall,60.0,9,86.7074858942041,High
Germany,2024,Ransomware,Education,11.81,418893,Insider,Social Engineering,Firewall,31.0,9,28.193357253522976,Low
Germany,2016,Ransomware,Education,15.09,914593,Unattributed,Weak Passwords,AI-based Detection,1.0,1,16.4991422414123,High
Japan,2015,SQL Injection,Banking,20.69,344789,Unattributed,Zero-day,AI-based Detection,69.0,0,60.0077148632932,Low
India,2019,DDoS,Telecommunications,36.86,116906,Insider,Social Engineering,VPN,7.0,4,315.2960498178023,Low
Australia,2019,Phishing,Education,10.87,812343,Insider,Social Engineering,Antivirus,16.0,4,13.381047168499022,High
China,2017,Malware,IT,18.17,346390,Hacker Group,Weak Passwords,Firewall,36.0,2,52.455324922774906,Low
Brazil,2018,Phishing,IT,13.89,30925,Insider,Zero-day,Encryption,43.0,3,449.15117219078417,Low
UK,2017,DDoS,Government,15.63,663812,Nation-state,Zero-day,Antivirus,57.0,2,23.54582321500666,Medium
Brazil,2020,Man-in-the-Middle,Government,32.72,220978,Nation-state,Zero-day,VPN,47.0,5,148.06903854682366,Low
UK,2021,DDoS,Banking,97.03,100486,Nation-state,Unpatched Software,Firewall,31.0,6,965.6071492546225,High
Russia,2023,SQL Injection,Education,75.63,195733,Nation-state,Weak Passwords,Antivirus,70.0,8,386.3937097985521,High
Japan,2023,Man-in-the-Middle,Healthcare,64.21,707978,Nation-state,Weak Passwords,VPN,41.0,8,90.69490859885475,Medium
Brazil,2018,Phishing,Healthcare,99.14,456432,Insider,Weak Passwords,Antivirus,66.0,3,217.20650611701194,High
Brazil,2016,Man-in-the-Middle,IT,75.51,37230,Unattributed,Social Engineering,AI-based Detection,52.0,1,2028.2030620467365,High
UK,2015,DDoS,Government,11.68,890414,Nation-state,Unpatched Software,AI-based Detection,28.0,0,13.117493660252421,High
France,2021,Malware,IT,33.84,440358,Nation-state,Social Engineering,Antivirus,5.0,6,76.84656574877714,Low
India,2022,Malware,Healthcare,38.89,400752,Insider,Unpatched Software,Antivirus,36.0,7,97.04255998722402,Low
France,2018,Phishing,Banking,89.77,134364,Nation-state,Zero-day,Antivirus,63.0,3,668.1105057902414,High
Germany,2017,DDoS,Telecommunications,15.01,406483,Insider,Weak Passwords,Antivirus,62.0,2,36.92651353193123,Low
Brazil,2018,SQL Injection,IT,98.38,661583,Insider,Social Engineering,Encryption,30.0,3,148.7039419090273,High
Russia,2015,SQL Injection,Education,23.49,642834,Unattributed,Weak Passwords,Antivirus,34.0,0,36.541315487357544,Medium
Brazil,2017,Ransomware,IT,9.43,493087,Hacker Group,Unpatched Software,Encryption,44.0,2,19.124414150038433,Low
Brazil,2021,Man-in-the-Middle,IT,97.37,966570,Nation-state,Weak Passwords,Antivirus,32.0,6,100.73765997289384,High
Russia,2022,Phishing,Telecommunications,73.26,687383,Nation-state,Weak Passwords,VPN,8.0,7,106.57813766124562,Medium
Germany,2020,Phishing,Retail,78.84,733304,Unattributed,Weak Passwords,VPN,19.0,5,107.5133914447487,High
India,2023,Ransomware,Telecommunications,3.51,661681,Hacker Group,Weak Passwords,AI-based Detection,14.0,8,5.304670981938426,Medium
France,2020,SQL Injection,IT,25.32,644538,Unattributed,Social Engineering,Antivirus,57.0,5,39.28395222624577,Medium
Germany,2015,Phishing,Banking,58.78,861637,Unattributed,Social Engineering,VPN,15.0,0,68.21898316808587,High
Brazil,2016,SQL Injection,Telecommunications,73.76,393189,Unattributed,Zero-day,Antivirus,37.0,1,187.59426128401353,Medium
France,2022,SQL Injection,Healthcare,27.06,999545,Hacker Group,Social Engineering,Encryption,47.0,7,27.072317904646614,High
UK,2021,SQL Injection,IT,77.82,935572,Hacker Group,Social Engineering,Encryption,61.0,6,83.17906051057535,High
France,2016,Ransomware,IT,55.99,724608,Hacker Group,Social Engineering,Antivirus,21.0,1,77.26936495318849,Medium
Brazil,2024,DDoS,Banking,55.73,750979,Unattributed,Social Engineering,AI-based Detection,30.0,9,74.20979814349003,High
India,2017,Malware,Telecommunications,7.44,552358,Nation-state,Weak Passwords,AI-based Detection,42.0,2,13.469525199236728,Medium
Australia,2019,Phishing,Banking,37.07,902654,Insider,Social Engineering,Antivirus,9.0,4,41.06778455532242,High
UK,2022,Ransomware,Healthcare,75.67,413293,Hacker Group,Zero-day,Antivirus,27.0,7,183.09044672907598,High
India,2024,Malware,Retail,56.19,114357,Insider,Zero-day,AI-based Detection,58.0,9,491.356016684593,Medium
USA,2018,Malware,Government,70.53,363432,Hacker Group,Zero-day,AI-based Detection,40.0,3,194.06656540976027,Medium
Japan,2016,SQL Injection,Telecommunications,63.77,304618,Unattributed,Unpatched Software,Antivirus,54.0,1,209.3441621965872,Medium
India,2022,SQL Injection,IT,32.73,153154,Hacker Group,Zero-day,VPN,37.0,7,213.7064653877796,Low
China,2022,Malware,Banking,21.87,741153,Insider,Social Engineering,Encryption,66.0,7,29.508077279590044,Medium
Japan,2024,Man-in-the-Middle,Healthcare,72.08,261230,Insider,Social Engineering,VPN,19.0,9,275.92542969796733,Medium
UK,2023,SQL Injection,Telecommunications,53.82,688014,Unattributed,Zero-day,Encryption,18.0,8,78.22515239515475,Medium
Australia,2018,DDoS,Education,3.3,45027,Unattributed,Social Engineering,Antivirus,68.0,3,73.28935971750283,Low
Australia,2021,Malware,Banking,13.99,689681,Nation-state,Weak Passwords,AI-based Detection,62.0,6,20.2847403364744,Medium
Germany,2024,Malware,Government,93.49,702688,Hacker Group,Unpatched Software,Antivirus,39.0,9,133.04624527528577,High
China,2016,Man-in-the-Middle,Banking,97.28,86038,Insider,Weak Passwords,Encryption,19.0,1,1130.6631953322951,High
Japan,2015,Malware,Education,17.19,899381,Insider,Unpatched Software,Firewall,66.0,0,19.113145596804912,High
India,2023,Malware,IT,54.21,157667,Insider,Weak Passwords,VPN,34.0,8,343.82591157312567,Medium
UK,2021,Malware,Government,64.28,643714,Nation-state,Weak Passwords,VPN,25.0,6,99.85801147714669,Medium
USA,2023,Ransomware,Education,71.31,3607,Insider,Zero-day,AI-based Detection,7.0,8,19769.891876906015,Medium
UK,2017,Phishing,Banking,52.31,259706,Hacker Group,Social Engineering,Antivirus,2.0,2,201.42006730687777,Medium
India,2021,Man-in-the-Middle,Retail,40.94,698921,Insider,Weak Passwords,Firewall,72.0,6,58.57600501344215,Medium
Brazil,2024,Ransomware,Government,32.21,482574,Nation-state,Unpatched Software,Firewall,22.0,9,66.74623995490848,Low
France,2017,DDoS,IT,20.44,618269,Nation-state,Weak Passwords,VPN,48.0,2,33.060043443873134,Medium
Russia,2016,Ransomware,Government,59.66,854961,Unattributed,Unpatched Software,AI-based Detection,7.0,1,69.78096076897074,High
Brazil,2019,SQL Injection,Education,56.33,595157,Unattributed,Zero-day,Encryption,41.0,4,94.64729474743639,Medium
France,2016,SQL Injection,Government,2.24,813706,Hacker Group,Weak Passwords,VPN,54.0,1,2.7528370197589793,High
Brazil,2018,DDoS,Telecommunications,82.05,322527,Nation-state,Weak Passwords,Firewall,46.0,3,254.39730627203303,High
China,2024,DDoS,Healthcare,11.92,557016,Unattributed,Zero-day,Firewall,34.0,9,21.39974435204734,Medium
UK,2017,DDoS,Healthcare,54.83,966668,Hacker Group,Weak Passwords,AI-based Detection,15.0,2,56.720611419846314,High
France,2020,SQL Injection,Retail,36.17,813165,Nation-state,Unpatched Software,Antivirus,44.0,5,44.480517484151434,High
France,2018,SQL Injection,Government,80.06,400807,Unattributed,Weak Passwords,Firewall,67.0,3,199.74701040650487,High
Brazil,2023,Man-in-the-Middle,Retail,74.85,549300,Hacker Group,Weak Passwords,Antivirus,26.0,8,136.2643364281813,High
Brazil,2021,Ransomware,Government,74.01,956893,Unattributed,Social Engineering,Antivirus,49.0,6,77.34407086267744,High
India,2015,SQL Injection,Government,46.2,245370,Insider,Social Engineering,AI-based Detection,57.0,0,188.28707665973835,Low
Brazil,2017,Malware,IT,9.59,912731,Nation-state,Zero-day,Firewall,4.0,2,10.506929204771176,High
USA,2017,Malware,Telecommunications,81.19,362085,Insider,Weak Passwords,VPN,5.0,2,224.2291174724167,High
Germany,2022,SQL Injection,Telecommunications,42.8,862664,Hacker Group,Zero-day,Firewall,44.0,7,49.6137546020235,High
China,2015,Ransomware,Telecommunications,32.65,313384,Insider,Social Engineering,Antivirus,51.0,0,104.18528067801802,Low
Russia,2018,Malware,Banking,17.99,593009,Unattributed,Social Engineering,Firewall,27.0,3,30.33680770443619,Medium
Germany,2023,SQL Injection,Banking,30.68,933754,Insider,Social Engineering,Firewall,36.0,8,32.85661962358394,High
Japan,2015,DDoS,Government,82.12,55055,Hacker Group,Unpatched Software,VPN,44.0,0,1491.5993097811279,High
France,2020,SQL Injection,Education,94.63,481180,Hacker Group,Weak Passwords,AI-based Detection,10.0,5,196.66237166964547,High
Russia,2020,Man-in-the-Middle,Banking,54.03,110260,Unattributed,Weak Passwords,VPN,66.0,5,490.0235806276075,Medium
USA,2020,DDoS,Government,10.54,741592,Insider,Social Engineering,VPN,69.0,5,14.212666803309636,Medium
Russia,2020,Phishing,Education,34.41,928026,Unattributed,Social Engineering,VPN,5.0,5,37.07870253635135,High
Germany,2018,SQL Injection,Education,84.27,399014,Nation-state,Zero-day,Firewall,52.0,3,211.1955971469673,High
China,2018,Ransomware,Retail,35.08,42831,Hacker Group,Social Engineering,Antivirus,42.0,3,819.0329434288249,Low
UK,2018,Man-in-the-Middle,Healthcare,45.11,545613,Insider,Unpatched Software,VPN,25.0,3,82.67764880968745,Medium
Australia,2023,Man-in-the-Middle,Retail,92.57,813789,Nation-state,Unpatched Software,Antivirus,27.0,8,113.75184476565794,High
UK,2015,Ransomware,Banking,13.49,345825,Hacker Group,Zero-day,AI-based Detection,6.0,0,39.00816887153907,Low
UK,2016,Phishing,Education,8.42,29671,Insider,Unpatched Software,Encryption,61.0,1,283.7787738869603,Low
Australia,2020,Phishing,Government,92.5,34011,Insider,Unpatched Software,Firewall,9.0,5,2719.7083296580518,High
USA,2018,SQL Injection,Banking,63.8,341383,Nation-state,Weak Passwords,Antivirus,9.0,3,186.88686900050675,Medium
Japan,2020,Ransomware,Banking,40.86,565080,Unattributed,Zero-day,Encryption,6.0,5,72.30834572095986,Medium
Germany,2019,Malware,Banking,79.24,862136,Hacker Group,Zero-day,VPN,44.0,4,91.9112529809682,High
Japan,2022,Man-in-the-Middle,Retail,37.15,241151,Hacker Group,Social Engineering,Antivirus,56.0,7,154.05285485028054,Low
India,2024,Man-in-the-Middle,Government,62.06,321158,Insider,Zero-day,VPN,37.0,9,193.23821919429065,Medium
France,2023,Phishing,Education,31.03,472386,Nation-state,Zero-day,Encryption,24.0,8,65.6878061585229,Low
UK,2015,Man-in-the-Middle,Healthcare,82.54,34240,Insider,Weak Passwords,Encryption,45.0,0,2410.6308411214955,High
USA,2019,Malware,Government,34.4,98018,Insider,Zero-day,VPN,55.0,4,350.955946866902,Low
Japan,2024,Phishing,Education,72.2,555808,Unattributed,Weak Passwords,AI-based Detection,4.0,9,129.90097299786976,Medium
UK,2021,SQL Injection,Healthcare,52.23,449333,Hacker Group,Unpatched Software,Encryption,39.0,6,116.23895863424231,Medium
UK,2024,Man-in-the-Middle,Retail,7.16,368618,Nation-state,Social Engineering,Firewall,22.0,9,19.423902251110906,Low
France,2022,Man-in-the-Middle,IT,78.23,310175,Hacker Group,Unpatched Software,AI-based Detection,53.0,7,252.21246070766503,High
UK,2020,Phishing,Retail,25.1,986980,Nation-state,Zero-day,VPN,71.0,5,25.431113092463878,High
UK,2024,DDoS,Retail,88.54,518181,Insider,Zero-day,Antivirus,24.0,9,170.86693645656632,High
India,2015,Phishing,Retail,49.51,72782,Unattributed,Zero-day,Encryption,63.0,0,680.2506114149103,Low
Russia,2018,DDoS,Telecommunications,4.08,502842,Unattributed,Zero-day,VPN,15.0,3,8.113880702089324,Medium
UK,2024,Phishing,Retail,89.31,376586,Unattributed,Weak Passwords,AI-based Detection,51.0,9,237.15698406207346,High
Germany,2023,Phishing,Government,88.55,698597,Unattributed,Social Engineering,Antivirus,66.0,8,126.75405133431721,High
